Song,Artist,Billboard100,URI
7,Prince and The New Power Generation,1,4hvxrI9P7c480gW0arZn3d
Dre Day,Dr. Dre,1,0
One Last Cry,Brian McKnight,1,3l9OCOG3Vt6c2lxeMyGSIY
Just Kickin' It,Xscape,1,51RvCRzeTqoQgdOBgcpHtT
I Get Around,2Pac,1,4voEoczU7Ijborps9XF1n3
Bed of Roses,Bon Jovi,1,1zng9uqqXoPkmU05nsAlsw
Real Love,Mary J. Blige,1,3XG801WWhqC753dekEBkMt
Here We Go Again!,Portrait,1,5rIr1MOh4cWwpdln1QqTPS
Cryin',Aerosmith,1,0NJC0FDCODpPUntRTTQq97
Cat's in the Cradle,Ugly Kid Joe,1,4xfT6cr90fQu26YMYDdknY
What About Your Friends,TLC,1,63PIgPkDf3rswlU4ZWCYAM
I Got a Man,Positive K,1,4iAYo83eWlktjw97oebIal
Hey Mr. D.J.,Zhané,1,7tklytz84iS8vnUJrBRSVj
Insane in the Brain,Cypress Hill,1,1oTHteQbmJw15rPxPVXUTv
Deeper and Deeper,Madonna,1,6KU8g98m1tcrUXRNjPQeOI
Rain,Madonna,1,3b3PnE1ROIZzILjmCGjVib
The Right Kind of Love,Jeremy Jordan,1,6WTwlLmhaq935X1jCq19wT
"Bad Boys"" (theme from Cops)",Inner Circle,1,0qeKzbUsW0V4ZWRJrHNiD3
That's What Love Can Do,Boy Krazy,1,4VOQLjmETAE5NLcFMwvUXC
Do You Believe in Us,Jon Secada,1,3u5e3ovyvQLoauwUzWezvX
Angel,Jon Secada,1,543d68hZ4dzVePFfdVc0Ki
Forever in Love,Kenny G,1,6mBzwM0fZWRgiNVFHUzknM
Again,Janet Jackson,1,1GrikfH0jDejDvrxo84n4P
Boom! Shake the Room,DJ Jazzy Jeff & The Fresh Prince,1,5ZDL1Ap2Mwhk5xhmQ41Ei2
When She Cries,Restless Heart,1,61EQfJXizp4MIpLYWyLoQI
Sweat (A La La La La Long),Inner Circle,1,1SssFw74DdHVjRa6ADggdD
It Was a Good Day,Ice Cube,1,2qOm7ukLyHUXWyR4ZWLwxA
More and More,Captain Hollywood Project,1,0JXXm3RqxU8EKzX4P8M0n3
How Do You Talk to an Angel,The Heights,1,2QVHmiFTjFsHyxONRdbkcq
Rebirth of Slick (Cool Like Dat),Digable Planets,1,26q6YTrXt9l8qshIveiTX9
What Is Love,Haddaway,1,4v6jydWBTAIqnyPVNyOAdc
To Love Somebody,Michael Bolton,1,1JVf7tzhspVTRrRHxiJhD5
"Give It Up, Turn It Loose",En Vogue,1,61vIGLnOsYaydUUKfJ9XC5
Alright,Kris Kross,1,3uGjLZ5abCyCfYXBVfpf8X
Check Yo Self,Ice Cube,1,3NGT0Td7H4Is1qrlDQJxma
Fields of Gold,Sting,1,0I1DJdLt9BKOb7GWmWxCjo
Ooh Child,Dino,1,0
Faithful,Go West,1,6lP1Tmf5VdZYviohSQoMiH
Reason to Believe,Rod Stewart,1,3CWpnJQpzkaGovG6IY5mNe
Break It Down Again,Tears for Fears,1,15kc3DJyYixeEEq5kRRrOm
Nothin' My Love Can't Fix,Joey Lawrence,1,0JD2s5rmSVfxVckwN6Cgq8
Three Little Pigs,Green Jellÿ,1,6DiPkm7C3LD9XsJWTGPFgv
Livin' on the Edge,Aerosmith,1,4avSaixVwu8uqfSs7zgoj3
Hey Jealousy,Gin Blossoms,1,4o7ZPI2fmEi3piRe0Hrfpy
If I Ever Lose My Faith in You,Sting,1,05vL56xSoxthM0r7IfcQjo
Anniversary,Tony! Toni! Toné!,1,22uZ9ryBIXvHrVG6Y7Y4g8
One Woman,Jade,1,0EnFaSWSkj45lktHxHtcXb
Can't Get Enough of Your Love,Taylor Dayne,1,39owLj3gqY7XN41PC1WO6Q
Two Steps Behind,Def Leppard,1,0hJnqEmo8DeMmRhh6mwAof
The Sign,Ace of Base,1,0hrBpAOgrt8RXigk83LLNE
I Swear,All-4-One,1,057to6NPu2aMTfjZjk74YT
I'll Make Love to You,Boyz II Men,1,61sQYdFNS6sEBYCyr1q5gn
The Power of Love,Céline Dion,1,5kK1Iru9ogP3Iy1zsANU1n
Hero,Mariah Carey,1,4FCb4CUbFCMNRkI6lYc1zI
Stay (I Missed You),Lisa Loeb and Nine Stories,1,00U1MDChdOTxWwtKoOoBXE
Breathe Again,Toni Braxton,1,1xFliXOpcu7E89AsDAZ7JV
All for Love,"Bryan Adams, Rod Stewart and Sting",1,035aFnfIrO25Hy4PRP6GC7
All That She Wants,Ace of Base,1,6kWJvPfC4DgUpRsXKNa9z9
Don't Turn Around,Ace of Base,1,4SYMibQ93bfzOk6uzkF0dO
Bump n' Grind,R. Kelly,1,0DBIL8arX0Zo6eAuxNIpik
Again,Janet Jackson,1,1GrikfH0jDejDvrxo84n4P
I'll Remember,Madonna,1,00U0pedRUMEzREpyRqbVT6
Whatta Man,Salt-n-Pepa and En Vogue,1,7sJN693sYKEIEMu7fc5VnJ
Wild Night,John Mellencamp,1,6opIwpImZYdxNgG4wpDxED
"Without You"" / ""Never Forget You",Mariah Carey,1,1kMOJBmpfWD9fir6st9uqS
You Mean the World to Me,Toni Braxton,1,1d0GYRpnCb0XNQcQdKhfKL
Can You Feel the Love Tonight,Elton John,1,67HKtdqchK0rmODxsBeWT8
The Most Beautiful Girl in the World,Prince,1,2TAdelKqtPjyHWYMMkcmVX
Fantastic Voyage,Coolio,1,3QlTzofanSqDWywxEzGGE2
"Baby, I Love Your Way",Big Mountain,1,1Rvl8qsKJurfFTyWLBI9ib
Regulate,Warren G,1,7nYvUtkQMx1v80S2FH2s9J
If You Go,Jon Secada,1,3b2JWlZ020qGdaDtcO7Gyy
Back & Forth,Aaliyah,1,45wneA2j0Z0WMnYNDO6Ad0
Now and Forever,Richard Marx,1,2V2pxcEfn5zs79sE7qcewA
When Can I See You,Babyface,1,2zItQNJrVrTioXTXWiI2ed
Please Forgive Me,Bryan Adams,1,1HDaENkQhUMm16pjdxZvHn
So Much in Love,All-4-One,1,1J1Wz0UPt4NPp4MMwSJCcz
Shoop,Salt-n-Pepa,1,0Pu71wxadDlB8fJXfjIjeJ
"Any Time, Any Place",Janet Jackson,1,2yOm4lN7aTygtXanJFNFWU
Shine,Collective Soul,1,6emdJW80SbDBMuHci8PJJn
Said I Loved You...But I Lied,Michael Bolton,1,2nfMrwg3aRhSAv4HX7IzJL
Return to Innocence,Enigma,1,2UKkLqST2xWpK8n1b0Xr5Z
All I Wanna Do,Sheryl Crow,1,3ZpQiJ78LKINrW9SQTgbXd
Mmm Mmm Mmm Mmm,Crash Test Dummies,1,76nvqWPFucUra1xCkN1tnD
Can We Talk,Tevin Campbell,1,6a5jHgwqYMk9wlYJYfs3c9
Funkdafied,Da Brat,1,29VrHhpC5AS9b7XJYDPhqb
I'd Do Anything for Love (But I Won't Do That),Meat Loaf,1,391CwgcBxvUHmEKda2b5In
Gangsta Lean,DRS,1,7FsrQ9ioJZuTJ9S1ANyl0d
Because the Night,"10,000 Maniacs",1,5VzvK7YiwWbRePA2JOzhYq
Cantaloop (Flip Fantasia),Us3,1,2AnTuxahfcAS7dGxGZnihY
Whoomp! (There It Is),Tag Team,1,4EEGHbMUyS07PNVXSGB7Qg
Come to My Window,Melissa Etheridge,1,4LmlGaGTEbTGE5VngAbpA3
Stroke You Up,Changing Faces,1,4VcV0t8VN6AZcWTznJOUUN
I'm Ready,Tevin Campbell,1,1eGY6roK1W2vFIhDXu2lXq
100% Pure Love,Crystal Waters,1,0dfQwyoZoS9LgQiU6AJO7f
Anytime You Need a Friend,Mariah Carey,1,0S8xKy1efKy3LvR53qe3Cq
Because of Love,Janet Jackson,1,40kJxdeSmQieEgTgShXumm
Linger,The Cranberries,1,0gEyKnHvgkrkBM6fbeHdwK
Loser,Beck,1,5PntSbMHC1ud6Vvl8x56qd
Found Out About You,Gin Blossoms,1,5WmDRnuGYo31xrWNDcYaps
Gin and Juice,Snoop Doggy Dogg,1,0WKYRFtH6KKbaNWjsxqm70
Never Lie,Immature,1,62utntNdsx80hraXA5ha0Q
Streets of Philadelphia,Bruce Springsteen,1,3fbnbn6A5O5RNb08tlUEgd
Getto Jam,Domino,1,2mGxDOaHdBWnJY7V0In8Vx
Endless Love,Luther Vandross and Mariah Carey,1,7IljDTNkQEyy77CcaRbiAj
I Miss You,Aaron Hall,1,1TWhpLaqdToKoHHpFnCxsd
Understanding,Xscape,1,4yKbbM56fLCxwR5CTH6QkP
This D.J.,Warren G,1,2ImuQo1g14CTR9hZAZD3aQ
Cry for You,Jodeci,1,3RNvMhYFEwpCgPnDGKR5MB
Keep Ya Head Up,2Pac,1,0XRbYXQUymj9SJkrr8YK5B
What's My Name?,Snoop Doggy Dogg,1,5XhkV07Vou38wnrzwURUOC
Another Night,Real McCoy,1,3pEuO9J2MTEmec8kUfYYvl
Your Body's Callin',R. Kelly,1,4iXZFxEUzTTLMLE5jCyKEb
Tootsee Roll,69 Boyz,1,0SAIjVOwxVnO1l9HGvLuOU
I Can See Clearly Now,Jimmy Cliff,1,7aJZxI6TVdIvQSuWxQ4rqp
Never Keeping Secrets,Babyface,1,7L06pF5o819jflseQ4Wde5
Crazy,Aerosmith,1,74irxdVWstNlEQjsvArITq
Just Kickin' It,Xscape,1,51RvCRzeTqoQgdOBgcpHtT
(At Your Best) You Are Love,Aaliyah,1,4lRrk574qIHpoEEKC1zuam
Rock and Roll Dreams Come Through,Meat Loaf,1,452fSzvkB2A8FHVI4JKK2S
Amazing,Aerosmith,1,6beFuzSjwhOKFZp2aqYDdY
Always,Erasure,1,5QQCp4fQiU9I2FU9FvJVV2
Groove Thang,Zhané,1,5MiIyCJ1DYbWLdwWYzyNcJ
Dreams,Gabrielle,1,3U0xko5uT0MfOKI3oLnWKv
Mr. Vain,Culture Beat,1,4ih3dyFZoeTdaeJW9mPbOI
Mary Jane's Last Dance,Tom Petty and the Heartbreakers,1,3dmqIB2Qxe2XZobw9gXxJ6
Anything,SWV,1,1vf3GldTchj0ytKoyLgMrZ
Beautiful in My Eyes,Joshua Kadison,1,5o8gWPZxr4GZFslU85YMmu
Stay,Eternal,1,3DCAjSZiLK127tGL0URVGE
Flava in Ya Ear,Craig Mack,1,5PbFD3AIyunz5HxocduA9e
U.N.I.T.Y.,Queen Latifah,1,3mmbJnh1L94Zl8QZcUTq39
Prayer for the Dying,Seal,1,7pzWp50ZQXM44dfDbyMY9l
Secret,Madonna,1,15FcP9qwmIKqaD5NhfhNpu
Here Comes the Hotstepper,Ini Kamoze,1,3QRM0qZB7oMYavveH0iEqx
Everyday,Phil Collins,1,1TuC2upbvZ6Ae0VE4kj8dT
Don't Take the Girl,Tim McGraw,1,2wmEryA2YLaFwFvA63n3O2
Got Me Waiting,Heavy D & the Boyz,1,7lqwSAP2isafyCokjZd7aE
"December, 1963 (Oh, What a Night)",The Four Seasons,1,1hQFF33xi8ruavZNyovtUN
Indian Outlaw,Tim McGraw,1,1fYypIR0kaFzaSRbzvtjl9
Always,Bon Jovi,1,2RChe0r2cMoyOvuKobZy44
I'm the Only One,Melissa Etheridge,1,4veE1jrMbVSy9FRCiYDGkD
Back in the Day,Ahmad,1,5gUVdjfPWoaKoRiEMHBX6P
Love Sneakin' Up On You,Bonnie Raitt,1,1UtxIyLkTt7iR5TcWLt8IT
I'll Take You There,General Public,1,5p1U3tDtcAhhu5Em2eAhsE
Always in My Heart,Tevin Campbell,1,2CD8UvBi01dwnriCM8TivL
What Is Love,Haddaway,1,4v6jydWBTAIqnyPVNyOAdc
And Our Feelings,Babyface,1,27sYHmgfRvHFyQ5vrm5nQp
Bop Gun (One Nation),Ice Cube,1,6ahvJBzznCQvbJt0SmqtkL
I Wanna Be Down,Brandy,1,6N9uyMZf9pbNOuomveWscp
Gangsta's Paradise,Coolio,1,7lQWRAjyhTpCWFC0jmclT4
Waterfalls,TLC,1,6qspW4YKycviDFjHBOaqUY
Creep,TLC,1,1aWV3uY3SIEZVbmv45oFWS
Kiss from a Rose,Seal,1,3YKptz29AsOlm7WAVnztBh
On Bended Knee,Boyz II Men,1,7MYmo0JJJDmu4MZTSAF9y3
Another Night,Real McCoy,1,3pEuO9J2MTEmec8kUfYYvl
Fantasy,Mariah Carey,1,6xkryXuiZU360Lngd4sx13
Take a Bow,Madonna,1,7izFzcBTx3DVXFeFYDeZKB
Don't Take It Personal (Just One of Dem Days),Monica,1,0JCAezTC5IlK1a9o0YBEsD
This Is How We Do It,Montell Jordan,1,6uQKuonTU8VKBz5SHZuQXD
I Know,Dionne Farris,1,698R7h4SU5zyNil1iReHAX
Water Runs Dry,Boyz II Men,1,7yhmvQh1JOzbNiNFQo4Tfc
Freak Like Me,Adina Howard,1,6Vas6h9lB5mmeVDXdFqlQA
Run-Around,Blues Traveler,1,500Tkm3vJmVtdUwdCVxCTb
I Can Love You Like That,All-4-One,1,4OnZR9U5JRFGF1Yza9j579
Have You Ever Really Loved a Woman?,Bryan Adams,1,32Gf5A7Hr8RdgggXG0Fdks
Always,Bon Jovi,1,2RChe0r2cMoyOvuKobZy44
"Boombastic"" / ""In the Summertime",Shaggy,1,4fxF8ljwryMZX5c9EKrLFE
Total Eclipse of the Heart,Nicki French,1,2hPOOLM9Oefyy43eAXR4Hf
You Gotta Be,Des'ree,1,6CU0zWIWVTEnmWpSjVHM93
You Are Not Alone,Michael Jackson,1,3AoeaZs8dFemFJr3JdzOL0
Hold My Hand,Hootie & the Blowfish,1,4WnYuVFXe6Si4fZqkxbnvS
One More Chance,The Notorious B.I.G.,1,7fXhkARAtS66kxexMIAx8O
Here Comes the Hotstepper,Ini Kamoze,1,3QRM0qZB7oMYavveH0iEqx
Candy Rain,Soul for Real,1,4j1Bk0BEIGCF9hR7cSwl9d
Let Her Cry,Hootie & the Blowfish,1,6NGi23FFKq9tH5NR1NcTw2
I Believe,Blessid Union of Souls,1,7qnNnQTGxdzI2wZWpa0vDD
Red Light Special,TLC,1,6dW75XbJ1WAMljOXWjTK46
Runaway,Janet Jackson,1,7AuCGvHlwy57q8jTZgL6vH
Strong Enough,Sheryl Crow,1,25IRjWUZ60n7KXxcB4DiX9
Colors of the Wind,Vanessa Williams,1,7xG1fakElLbxwyr9eyGEK6
Someone to Love,Jon B.,1,4mKbb9uvBMlVvOUv8fdBt8
Only Wanna Be with You,Hootie & the Blowfish,1,1OFKUn2VLafrHj7ybnap0Q
If You Love Me,Brownstone,1,0BTGqPIW9acmhhUmENkq5r
In the House of Stone and Light,Martin Page,1,1QlIB0pkLKR8vEDSW7r42t
I Got 5 on It,Luniz,1,4IYKjN1DrYzxKXt0umJqsG
Baby,Brandy,1,17aVK3oQdgwVG2l0HpP67W
Run Away,Real McCoy,1,0ibYVniVLMJWvc3eNfYk8T
As I Lay Me Down,Sophie B. Hawkins,1,6S8ZXzeXsfCj8qi9179McI
He's Mine,MoKenStef,1,20VRVHMwAspwLA207PdKOn
December,Collective Soul,1,3yi27cGUFPTQUdWZV9nV67
I'll Be There for You/You're All I Need to Get By,Method Man,1,6C3yPXYG2NJYlIYVe5J7hv
Shy Guy,Diana King,1,3ldG6XCLDXxWg1N6XhrSKo
I'm the Only One,Melissa Etheridge,1,4veE1jrMbVSy9FRCiYDGkD
Every Little Thing I Do,Soul for Real,1,5u3rsmRYRSKJpFHXPT4p07
Before I Let You Go,Blackstreet,1,2rkVoKVEMuct8SmEIGKzBw
Big Poppa,The Notorious B.I.G.,1,2g8HN35AnVGIk7B8yMucww
Sukiyaki,4 P.M.,1,0cBQbqp5jInL73ZxLBSGlX
I Wanna Be Down,Brandy,1,6N9uyMZf9pbNOuomveWscp
I'll Make Love to You,Boyz II Men,1,61sQYdFNS6sEBYCyr1q5gn
Dear Mama,2Pac,1,6tDxrq4FxEL2q15y37tXT9
Hold On,Jamie Walters,1,2kQLJexCx8wPTAqK0x0ijO
Keep Their Heads Ringin',Dr. Dre,1,7jIujRjK5JKNrMCcAvYUTN
The Rhythm of the Night,Corona,1,5IPJsGFKtxKDPCkT8lhEjN
Roll to Me,Del Amitri,1,7LF0YY1gON8rBECsyEs0Wb
Scream,Michael Jackson and Janet Jackson,1,46576CnmgT6xr0RaZNF2Kt
Freek'n You,Jodeci,1,43sNw9nvGYGLYnNiwI8oMZ
I Wish,Skee-Lo,1,3LklW07tvdx2AHsgfi1Mng
Believe,Elton John,1,0hACDgEDhKuQlv2ZhVbAIt
Carnival,Natalie Merchant,1,4QXhRjZacZ1gZUeL7Ukktw
You Don't Know How It Feels,Tom Petty,1,7MooGz4ZPE4bNxjFegR6Jx
Back for Good,Take That,1,4CPTAJth9JiuKYaMIemmDD
Tootsee Roll,69 Boyz,1,0SAIjVOwxVnO1l9HGvLuOU
You Want This,Janet Jackson,1,52kDYmU0aE3txkZBKjl0nP
Tell Me,Groove Theory,1,2lp8xjq0WTm3HZKHuDEweg
Can't You See,Total,1,174UISK3l7VRbigEHxEev7
All I Wanna Do,Sheryl Crow,1,3ZpQiJ78LKINrW9SQTgbXd
This Lil' Game We Play,Subway,1,0
Come and Get Your Love,Real McCoy,1,0XVikcHfkoBvJ5ZU8xQBWn
This Ain't a Love Song,Bon Jovi,1,0ZLBD6hHGN9LYOtNlu2n8e
Secret,Madonna,1,15FcP9qwmIKqaD5NhfhNpu
Player's Anthem,Junior M.A.F.I.A.,1,2qPx2QWd7vp8XxgeD9Wn5W
Feel Me Flow,Naughty by Nature,1,6Kp8tQd95YPSrSUTkll2Of
Every Day of the Week,Jade,1,7gRPARHLsDZaf3QxSTuKT8
The Sweetest Days,Vanessa Williams,1,2aw72RcR4WQvmA9bICK8QZ
Short Dick Man,20 Fingers,1,6ZZr5ew0DvA6xda9T5owOU
Brokenhearted,Brandy,1,6AzzMupvtP4u4B8d5OWVUi
No More I Love You's,Annie Lennox,1,2Pn5gvVioma5LHPxgEBBmD
You Used to Love Me,Faith Evans,1,0KhXVmAN4sqeEgsqRd39f2
Constantly,Immature,1,2Ht2XbOKEay5ogJbDk3i9q
"Hold Me, Thrill Me, Kiss Me, Kill Me",U2,1,5TsHqbDKaSs4ECZX0045YS
100% Pure Love,Crystal Waters,1,0dfQwyoZoS9LgQiU6AJO7f
Ask of You,Raphael Saadiq,1,0
Sugar Hill,AZ,1,0lZWjBImx6kNe3WtOA09Xu
Good,Better Than Ezra,1,0ttHpMs250dpFkCYAnuhnE
Brown Sugar,D'Angelo,1,7rt0kEDWRg3pgTZJKuszoE
Turn the Beat Around,Gloria Estefan,1,5EExhZiAXIqw6M5FFGAiUb
'Til You Do Me Right,After 7,1,1QJDgtV8L8jCnpM1RIauAp
1st of tha Month,Bone Thugs-n-Harmony,1,1dF5Y2dd7Wm4wZKvVjWBpr
Like the Way I Do,Melissa Etheridge,1,3Fe3L3N5pGaa0BBT4eVypZ
I Live My Life for You,FireHouse,1,4vHp893kV7HksfB5FN1Nk5
Dream About You,Stevie B,1,3OaBpAwssp9QrewlrqCCEw
Cotton Eye Joe,Rednex,1,0Jg602cHeMCnPez9baacIe
Thank You,Boyz II Men,1,2ESAoDR0NAUMzm81TEBuJE
I'll Stand by You,The Pretenders,1,0QV7dbGPYwBdaiJIlFUcCV
I Miss You,N II U,1,701AuJnm6mLDLtEUoQEB29
Give It 2 You,Da Brat,1,7K1TyzMSR0s2iVlepOh75L
Best Friend,Brandy,1,0YwUJOHKYxlm5gVfIkl8Ym
Misery,Soul Asylum,1,1uGht4m9AVY641N2DzoPpi
Can't Stop Lovin' You,Van Halen,1,6z3JD6IqVvu6TUBtCfQPbe
Macarena (Bayside Boys Mix),Los del Río,1,4oaj36KzXRgDg4McgcTsZK
One Sweet Day,Mariah Carey and Boyz II Men,1,7ySbfLwdCwl1EM0zNCJZ38
Because You Loved Me,Celine Dion,1,4IxVrFqFj3dRAYwdYNABcX
Nobody Knows,The Tony Rich Project,1,7A0FGrZsLgOUmeNtMTnt4z
Always Be My Baby,Mariah Carey,1,2aBxt229cbLDOvtL7Xbb9x
Give Me One Reason,Tracy Chapman,1,4vDBJeeQCbhP9FaPPMsYkY
Tha Crossroads,Bone Thugs-n-Harmony,1,5KSJ9k1FYjFLnIRlJT2wF8
I Love You Always Forever,Donna Lewis,1,1PEqh7awkpuepLBSq8ZwqD
"You're Makin' Me High"" / ""Let It Flow",Toni Braxton,1,5bJ796cOnGBzSN5bm4mwMj
Twisted,Keith Sweat,1,69QIVIjPMnI1ABLBqh9P1b
C'mon N' Ride It (The Train),Quad City DJ's,1,2QLEN3RVunMas7j0PHjeAT
Missing,Everything but the Girl,1,79WrmdVsLbwRTUCiH7cPsa
Ironic,Alanis Morissette,1,4oGTdOClZUxcM2H3UmXlwL
Exhale (Shoop Shoop),Whitney Houston,1,1X3ypzPnyerpZuMqrDFK29
"Follow You Down"" / ""Til I Hear It from You",Gin Blossoms,1,6rqkwoZu5oX5hugeyiJCM8
Sittin' Up in My Room,Brandy,1,5Erc0rv16PU4Z5Zt16kGQe
"How Do U Want It"" / ""California Love",2Pac,1,1eduDdsjMO7Or4EXnMf2iS
It's All Coming Back to Me Now,Celine Dion,1,5gPx24ixruqVFS14krILEq
Change the World,Eric Clapton,1,6BQNJ0JFKh8sWjQLI6Zudi
Hey Lover,LL Cool J,1,5wG7d4cNogw0ETKaICPEYA
Loungin,LL Cool J,1,0UN5OvKlbg06LnZyVk48ll
Insensitive,Jann Arden,1,64DuEe9L3JCESWDsxSKqsx
Be My Lover,La Bouche,1,7FoUzKTSQp25oe32pY9z5p
Name,Goo Goo Dolls,1,1G8jae4jD8mwkXdodqHsBM
Who Will Save Your Soul,Jewel,1,2U40DawrPNZwD0lcqqx3bq
Where Do You Go,No Mercy,1,37tzoWY1ubBQKGXiWdO5Qv
I Can't Sleep Baby (If I),R. Kelly,1,6JR2utS6oY0U6OVDmIHiqV
Counting Blue Cars,Dishwalla,1,6B618H5CuCdEzcVs0NKTlt
"You Learn"" / ""You Oughta Know",Alanis Morissette,1,1HsbGJnOXPWfocSS6FoR60
One of Us,Joan Osborne,1,1xNmF1Uep5OGutizZSbKvd
Wonder,Natalie Merchant,1,5Hz6aGrZZizNBoJ6kE6Rqi
Not Gon' Cry,Mary J. Blige,1,78wi1g772j8eJPEnD8rr9z
Gangsta's Paradise,Coolio,1,7lQWRAjyhTpCWFC0jmclT4
Only You,112,1,6zOg9gP62RJSsKFeOBAgvH
Down Low (Nobody Has to Know),R. Kelly,1,6zA2SEJJoiNByVMlQ4vgtH
You're the One,SWV,1,67ZorjDM25q7bETfLbHdfS
Sweet Dreams,La Bouche,1,2wz5weI4PREzpexKfrKgwv
"Before You Walk Out of My Life"" / ""Like This and Like That",Monica,1,6xrvubhznLOcEO3AM6XBN2
Breakfast at Tiffany's,Deep Blue Something,1,1uzWOoJdADfstQuFtQFTUn
"1, 2, 3, 4 (Sumpin' New)",Coolio,1,3aln8WgAUps6efYtdEYxP3
The World I Know,Collective Soul,1,4beuBXU4k3YWwVKm0PpWhv
No Diggity,Blackstreet,1,6MdqqkQ8sSC0WB4i8PyRuQ
Anything,3T,1,2AtBXRPCZhtIqSGF5ap33B
1979,The Smashing Pumpkins,1,5QLHGv0DfpeXLNFo7SFEy1
Diggin' on You,TLC,1,0qfbHkJ97Zpt0yxEWFzJUZ
"Why I Love You So Much"" / ""Ain't Nobody",Monica,1,7EKvTUo567BRNzZ37clvlf
Kissin' You,Total,1,1e5DTpM1WeggytDXbphivX
Count On Me,Whitney Houston,1,7mVV7fepIMUAE4FDyihupV
Fantasy,Mariah Carey,1,6xkryXuiZU360Lngd4sx13
Time,Hootie & the Blowfish,1,1N0UflnZhn7xOkrN2l8zxx
You'll See,Madonna,1,0Fb8sdyNluLawg08N1zs48
Last Night,Az Yet,1,2mj1Z5bqu0UfW4o4a7UxpW
Mouth,Merril Bainbridge,1,11Ki2bHWXTEug0DAfKcDDD
"The Earth, the Sun, the Rain",Color Me Badd,1,20lzW8sXHa20GVDyIwJihy
All the Things (Your Man Won't Do),Joe,1,3UGNdLrhhsK0SY9gNqe8TT
Wonderwall,Oasis,1,5wj4E6IsrVtn8IBJQOd0Cl
Woo Hah!! Got You All in Check,Busta Rhymes,1,09WxJCWFMWAxTHBLLelpDS
Tell Me,Groove Theory,1,2lp8xjq0WTm3HZKHuDEweg
Elevators (Me & You),Outkast,1,2oLwDI8tZUOh6SmTMRRfKs
Hook,Blues Traveler,1,27IRo2rYeizhRMDaNVplNM
Doin' It,LL Cool J,1,4WMBl2wiGUSGa5C7tfQEAo
Fastlove,George Michael,1,6SaeXxdt0Id6ZzmX0ZGTQK
"Touch Me, Tease Me",Case,1,4xrBjUq18fvXK68DJEi5XM
Tonite's tha Night,Kris Kross,1,53Bg1jmAmZ2dv1XwKYjDqo
Children,Robert Miles,1,4wtR6HB3XekEengMX17cpc
Theme from Mission: Impossible,Adam Clayton and Larry Mullen,1,0
Closer to Free,BoDeans,1,0xw22cJECqEQ8RlH0H4sHr
Just a Girl,No Doubt,1,5lWRaa0fBxDE5yU91npPq7
If Your Girl Only Knew,Aaliyah,1,0
Lady,D'Angelo,1,7AjfklMN4WpQYz5FkT4E66
Key West Intermezzo (I Saw You First),John Mellencamp,1,43bvQNBz3LPzTxEgPSs9qQ
Pony,Ginuwine,1,6mz1fBdKATx6qP4oP1I65G
Nobody,Keith Sweat,1,4SF1747p541umnykBp352Q
Old Man and Me (When I Get To Heaven),Hootie & the Blowfish,1,6kbrCv0lGLSdDL9p6HB622
If It Makes You Happy,Sheryl Crow,1,5XrfFo0JFOnWD9ZMNXGkQh
As I Lay Me Down,Sophie B. Hawkins,1,6S8ZXzeXsfCj8qi9179McI
"Keep On, Keepin' On",MC Lyte,1,42aZFX1bcCDj75ue0KoNSd
Jealousy,Natalie Merchant,1,3qcVyKUKAOfBoQJsxHfhmW
I Want to Come Over,Melissa Etheridge,1,7tOEXhPdFosbBcQrAISAfl
Who Do U Love,Deborah Cox,1,54lhKZ69xX8TeHRgWNU3rU
Un-Break My Heart,Toni Braxton,1,5Ihd9HrPvOADyVoonH9ZjB
This Is Your Night,Amber,1,5p0rUHicpwMZil8RlNGGth
You Remind Me of Something,R. Kelly,1,01rYWOpu72uFQORnWN84C3
Runaway,Janet Jackson,1,7AuCGvHlwy57q8jTZgL6vH
Set U Free,Planet Soul,1,3lX3jXOthWEzahVB1JSC2D
Hit Me Off,New Edition,1,0yNCFwihschpOwSgK31f2O
No One Else,Total,1,2IOQOWr4P14saZqZlM7k84
My Boo,Ghost Town DJ's,1,4c0rkFPszqQTyC753tsCMU
Get Money,Junior M.A.F.I.A.,1,53oWwSxPuyH2cjYKXH8fgO
That Girl,Maxi Priest,1,24s6yppvGO5he6wRwCaGrr
Po Pimp,Do or Die,1,66AMCAjrOk7c957i3ej06f
Until It Sleeps,Metallica,1,63aVbch5VRXtQnCITdeDTZ
Hay,Crucial Conflict,1,56hvN4r1qI7kDW9cw1lVov
Beautiful Life,Ace of Base,1,74jTexO94dFGyXGyeu8krd
Back for Good,Take That,1,4CPTAJth9JiuKYaMIemmDD
I Got Id,Pearl Jam,1,454wC5PPsU0mPltiJqxDbz
Soon as I Get Home,Faith Evans,1,6SkGfPa77E4giShVbk9N6R
Macarena,Los del Río,1,4oaj36KzXRgDg4McgcTsZK
Only Wanna Be with You,Hootie & the Blowfish,1,1OFKUn2VLafrHj7ybnap0Q
Don't Cry,Seal,1,1plWd6HPu5RUGa3kszuaYA
"Something About the Way You Look Tonight"" / ""Candle in the Wind 1997",Elton John,1,4l4mSq8IKgCMz0q9KFZ7tK
"Foolish Games"" / ""You Were Meant for Me",Jewel,1,3pPyv196sOJrbZdNiVNYCA
I'll Be Missing You,Puff Daddy,1,0jKMnHAycHc9qO6R6UyhMc
Un-Break My Heart,Toni Braxton,1,5Ihd9HrPvOADyVoonH9ZjB
