,Song,Artist,Billboard100,URI
338,I'm Every Woman,Whitney Houston,1,2eHj0klWkwRQuIrNlPpCPa
339,Baby I'm Yours,Shai,1,3xSu3S8v206qwhob9N2LGJ
340,Come Undone,Duran Duran,1,0yfNXxlyXdmP0ue1iJijx1
341,I Don't Wanna Fight,Tina Turner,1,4D6i2CM29NHkUDI3jQ2afk
343,"Whoot, There It Is",95 South,1,1PJM5F9oC7AKcdYROTv8EX
344,Hip Hop Hooray,Naughty by Nature,1,1w29UTa5uUvIri2tWtZ12Y
345,Another Sad Love Song,Toni Braxton,1,70iDnqYvxCPl3mPd3ddxgD
346,Will You Be There,Michael Jackson,1,1igW25R8lnb5ze9GWbuVsl
347,Comforter,Shai,1,6vHJpgX1QTYa9SVXankGVR
348,Good Enough,Bobby Brown,1,3WFQ6pEp1BRXrDKQ825ze7
349,What's Up?,4 Non Blondes,1,0jWgAnTrNZmOGmqgvHhZEm
350,All That She Wants,Ace of Base,1,6kWJvPfC4DgUpRsXKNa9z9
351,7,Prince and The New Power Generation,1,4hvxrI9P7c480gW0arZn3d
352,Dre Day,Dr. Dre,1,0
353,One Last Cry,Brian McKnight,1,3l9OCOG3Vt6c2lxeMyGSIY
354,Just Kickin' It,Xscape,1,51RvCRzeTqoQgdOBgcpHtT
355,I Get Around,2Pac,1,4voEoczU7Ijborps9XF1n3
356,Bed of Roses,Bon Jovi,1,1zng9uqqXoPkmU05nsAlsw
358,Here We Go Again!,Portrait,1,5rIr1MOh4cWwpdln1QqTPS
359,Cryin',Aerosmith,1,0NJC0FDCODpPUntRTTQq97
360,Cat's in the Cradle,Ugly Kid Joe,1,4xfT6cr90fQu26YMYDdknY
362,I Got a Man,Positive K,1,4iAYo83eWlktjw97oebIal
363,Hey Mr. D.J.,Zhané,1,7tklytz84iS8vnUJrBRSVj
364,Insane in the Brain,Cypress Hill,1,1oTHteQbmJw15rPxPVXUTv
365,Deeper and Deeper,Madonna,1,6KU8g98m1tcrUXRNjPQeOI
366,Rain,Madonna,1,3b3PnE1ROIZzILjmCGjVib
367,The Right Kind of Love,Jeremy Jordan,1,6WTwlLmhaq935X1jCq19wT
368,"Bad Boys"" (theme from Cops)",Inner Circle,1,0qeKzbUsW0V4ZWRJrHNiD3
369,That's What Love Can Do,Boy Krazy,1,4VOQLjmETAE5NLcFMwvUXC
370,Do You Believe in Us,Jon Secada,1,3u5e3ovyvQLoauwUzWezvX
371,Angel,Jon Secada,1,543d68hZ4dzVePFfdVc0Ki
372,Forever in Love,Kenny G,1,6mBzwM0fZWRgiNVFHUzknM
373,Again,Janet Jackson,1,1GrikfH0jDejDvrxo84n4P
374,Boom! Shake the Room,DJ Jazzy Jeff & The Fresh Prince,1,5ZDL1Ap2Mwhk5xhmQ41Ei2
375,When She Cries,Restless Heart,1,61EQfJXizp4MIpLYWyLoQI
376,Sweat (A La La La La Long),Inner Circle,1,1SssFw74DdHVjRa6ADggdD
377,It Was a Good Day,Ice Cube,1,2qOm7ukLyHUXWyR4ZWLwxA
378,More and More,Captain Hollywood Project,1,0JXXm3RqxU8EKzX4P8M0n3
380,Rebirth of Slick (Cool Like Dat),Digable Planets,1,26q6YTrXt9l8qshIveiTX9
381,What Is Love,Haddaway,1,4v6jydWBTAIqnyPVNyOAdc
382,To Love Somebody,Michael Bolton,1,1JVf7tzhspVTRrRHxiJhD5
383,"Give It Up, Turn It Loose",En Vogue,1,61vIGLnOsYaydUUKfJ9XC5
385,Check Yo Self,Ice Cube,1,3NGT0Td7H4Is1qrlDQJxma
386,Fields of Gold,Sting,1,0I1DJdLt9BKOb7GWmWxCjo
387,Ooh Child,Dino,1,0
388,Faithful,Go West,1,6lP1Tmf5VdZYviohSQoMiH
389,Reason to Believe,Rod Stewart,1,3CWpnJQpzkaGovG6IY5mNe
390,Break It Down Again,Tears for Fears,1,15kc3DJyYixeEEq5kRRrOm
391,Nothin' My Love Can't Fix,Joey Lawrence,1,0JD2s5rmSVfxVckwN6Cgq8
392,Three Little Pigs,Green Jellÿ,1,6DiPkm7C3LD9XsJWTGPFgv
393,Livin' on the Edge,Aerosmith,1,4avSaixVwu8uqfSs7zgoj3
394,Hey Jealousy,Gin Blossoms,1,4o7ZPI2fmEi3piRe0Hrfpy
395,If I Ever Lose My Faith in You,Sting,1,05vL56xSoxthM0r7IfcQjo
396,Anniversary,Tony! Toni! Toné!,1,22uZ9ryBIXvHrVG6Y7Y4g8
397,One Woman,Jade,1,0EnFaSWSkj45lktHxHtcXb
398,Can't Get Enough of Your Love,Taylor Dayne,1,39owLj3gqY7XN41PC1WO6Q
399,Two Steps Behind,Def Leppard,1,0hJnqEmo8DeMmRhh6mwAof
400,The Sign,Ace of Base,1,0hrBpAOgrt8RXigk83LLNE
401,I Swear,All-4-One,1,057to6NPu2aMTfjZjk74YT
402,I'll Make Love to You,Boyz II Men,1,61sQYdFNS6sEBYCyr1q5gn
403,The Power of Love,Céline Dion,1,5kK1Iru9ogP3Iy1zsANU1n
404,Hero,Mariah Carey,1,4FCb4CUbFCMNRkI6lYc1zI
405,Stay (I Missed You),Lisa Loeb and Nine Stories,1,00U1MDChdOTxWwtKoOoBXE
406,Breathe Again,Toni Braxton,1,1xFliXOpcu7E89AsDAZ7JV
407,All for Love,"Bryan Adams, Rod Stewart and Sting",1,035aFnfIrO25Hy4PRP6GC7
409,Don't Turn Around,Ace of Base,1,4SYMibQ93bfzOk6uzkF0dO
410,Bump n' Grind,R. Kelly,1,0DBIL8arX0Zo6eAuxNIpik
412,I'll Remember,Madonna,1,00U0pedRUMEzREpyRqbVT6
413,Whatta Man,Salt-n-Pepa and En Vogue,1,7sJN693sYKEIEMu7fc5VnJ
414,Wild Night,John Mellencamp,1,6opIwpImZYdxNgG4wpDxED
415,"Without You"" / ""Never Forget You",Mariah Carey,1,1kMOJBmpfWD9fir6st9uqS
416,You Mean the World to Me,Toni Braxton,1,1d0GYRpnCb0XNQcQdKhfKL
417,Can You Feel the Love Tonight,Elton John,1,67HKtdqchK0rmODxsBeWT8
418,The Most Beautiful Girl in the World,Prince,1,2TAdelKqtPjyHWYMMkcmVX
419,Fantastic Voyage,Coolio,1,3QlTzofanSqDWywxEzGGE2
420,"Baby, I Love Your Way",Big Mountain,1,1Rvl8qsKJurfFTyWLBI9ib
421,Regulate,Warren G,1,7nYvUtkQMx1v80S2FH2s9J
422,If You Go,Jon Secada,1,3b2JWlZ020qGdaDtcO7Gyy
423,Back & Forth,Aaliyah,1,45wneA2j0Z0WMnYNDO6Ad0
424,Now and Forever,Richard Marx,1,2V2pxcEfn5zs79sE7qcewA
425,When Can I See You,Babyface,1,2zItQNJrVrTioXTXWiI2ed
426,Please Forgive Me,Bryan Adams,1,1HDaENkQhUMm16pjdxZvHn
427,So Much in Love,All-4-One,1,1J1Wz0UPt4NPp4MMwSJCcz
428,Shoop,Salt-n-Pepa,1,0Pu71wxadDlB8fJXfjIjeJ
429,"Any Time, Any Place",Janet Jackson,1,2yOm4lN7aTygtXanJFNFWU
430,Shine,Collective Soul,1,6emdJW80SbDBMuHci8PJJn
431,Said I Loved You...But I Lied,Michael Bolton,1,2nfMrwg3aRhSAv4HX7IzJL
432,Return to Innocence,Enigma,1,2UKkLqST2xWpK8n1b0Xr5Z
433,All I Wanna Do,Sheryl Crow,1,3ZpQiJ78LKINrW9SQTgbXd
434,Mmm Mmm Mmm Mmm,Crash Test Dummies,1,76nvqWPFucUra1xCkN1tnD
435,Can We Talk,Tevin Campbell,1,6a5jHgwqYMk9wlYJYfs3c9
436,Funkdafied,Da Brat,1,29VrHhpC5AS9b7XJYDPhqb
438,Gangsta Lean,DRS,1,7FsrQ9ioJZuTJ9S1ANyl0d
439,Because the Night,"10,000 Maniacs",1,5VzvK7YiwWbRePA2JOzhYq
440,Cantaloop (Flip Fantasia),Us3,1,2AnTuxahfcAS7dGxGZnihY
442,Come to My Window,Melissa Etheridge,1,4LmlGaGTEbTGE5VngAbpA3
443,Stroke You Up,Changing Faces,1,4VcV0t8VN6AZcWTznJOUUN
444,I'm Ready,Tevin Campbell,1,1eGY6roK1W2vFIhDXu2lXq
445,100% Pure Love,Crystal Waters,1,0dfQwyoZoS9LgQiU6AJO7f
446,Anytime You Need a Friend,Mariah Carey,1,0S8xKy1efKy3LvR53qe3Cq
447,Because of Love,Janet Jackson,1,40kJxdeSmQieEgTgShXumm
448,Linger,The Cranberries,1,0gEyKnHvgkrkBM6fbeHdwK
449,Loser,Beck,1,5PntSbMHC1ud6Vvl8x56qd
450,Found Out About You,Gin Blossoms,1,5WmDRnuGYo31xrWNDcYaps
451,Gin and Juice,Snoop Doggy Dogg,1,0WKYRFtH6KKbaNWjsxqm70
452,Never Lie,Immature,1,62utntNdsx80hraXA5ha0Q
453,Streets of Philadelphia,Bruce Springsteen,1,3fbnbn6A5O5RNb08tlUEgd
454,Getto Jam,Domino,1,2mGxDOaHdBWnJY7V0In8Vx
455,Endless Love,Luther Vandross and Mariah Carey,1,7IljDTNkQEyy77CcaRbiAj
456,I Miss You,Aaron Hall,1,1TWhpLaqdToKoHHpFnCxsd
457,Understanding,Xscape,1,4yKbbM56fLCxwR5CTH6QkP
458,This D.J.,Warren G,1,2ImuQo1g14CTR9hZAZD3aQ
459,Cry for You,Jodeci,1,3RNvMhYFEwpCgPnDGKR5MB
460,Keep Ya Head Up,2Pac,1,0XRbYXQUymj9SJkrr8YK5B
461,What's My Name?,Snoop Doggy Dogg,1,5XhkV07Vou38wnrzwURUOC
462,Another Night,Real McCoy,1,3pEuO9J2MTEmec8kUfYYvl
463,Your Body's Callin',R. Kelly,1,4iXZFxEUzTTLMLE5jCyKEb
464,Tootsee Roll,69 Boyz,1,0SAIjVOwxVnO1l9HGvLuOU
465,I Can See Clearly Now,Jimmy Cliff,1,7aJZxI6TVdIvQSuWxQ4rqp
466,Never Keeping Secrets,Babyface,1,7L06pF5o819jflseQ4Wde5
469,(At Your Best) You Are Love,Aaliyah,1,4lRrk574qIHpoEEKC1zuam
470,Rock and Roll Dreams Come Through,Meat Loaf,1,452fSzvkB2A8FHVI4JKK2S
471,Amazing,Aerosmith,1,6beFuzSjwhOKFZp2aqYDdY
472,Always,Erasure,1,5QQCp4fQiU9I2FU9FvJVV2
473,Groove Thang,Zhané,1,5MiIyCJ1DYbWLdwWYzyNcJ
474,Dreams,Gabrielle,1,3U0xko5uT0MfOKI3oLnWKv
475,Mr. Vain,Culture Beat,1,4ih3dyFZoeTdaeJW9mPbOI
476,Mary Jane's Last Dance,Tom Petty and the Heartbreakers,1,3dmqIB2Qxe2XZobw9gXxJ6
477,Anything,SWV,1,1vf3GldTchj0ytKoyLgMrZ
478,Beautiful in My Eyes,Joshua Kadison,1,5o8gWPZxr4GZFslU85YMmu
480,Flava in Ya Ear,Craig Mack,1,5PbFD3AIyunz5HxocduA9e
481,U.N.I.T.Y.,Queen Latifah,1,3mmbJnh1L94Zl8QZcUTq39
482,Prayer for the Dying,Seal,1,7pzWp50ZQXM44dfDbyMY9l
483,Secret,Madonna,1,15FcP9qwmIKqaD5NhfhNpu
484,Here Comes the Hotstepper,Ini Kamoze,1,3QRM0qZB7oMYavveH0iEqx
485,Everyday,Phil Collins,1,1TuC2upbvZ6Ae0VE4kj8dT
486,Don't Take the Girl,Tim McGraw,1,2wmEryA2YLaFwFvA63n3O2
487,Got Me Waiting,Heavy D & the Boyz,1,7lqwSAP2isafyCokjZd7aE
488,"December, 1963 (Oh, What a Night)",The Four Seasons,1,1hQFF33xi8ruavZNyovtUN
489,Indian Outlaw,Tim McGraw,1,1fYypIR0kaFzaSRbzvtjl9
491,I'm the Only One,Melissa Etheridge,1,4veE1jrMbVSy9FRCiYDGkD
492,Back in the Day,Ahmad,1,5gUVdjfPWoaKoRiEMHBX6P
493,Love Sneakin' Up On You,Bonnie Raitt,1,1UtxIyLkTt7iR5TcWLt8IT
494,I'll Take You There,General Public,1,5p1U3tDtcAhhu5Em2eAhsE
495,Always in My Heart,Tevin Campbell,1,2CD8UvBi01dwnriCM8TivL
497,And Our Feelings,Babyface,1,27sYHmgfRvHFyQ5vrm5nQp
498,Bop Gun (One Nation),Ice Cube,1,6ahvJBzznCQvbJt0SmqtkL
499,I Wanna Be Down,Brandy,1,6N9uyMZf9pbNOuomveWscp
500,Gangsta's Paradise,Coolio,1,7lQWRAjyhTpCWFC0jmclT4
501,Waterfalls,TLC,1,6qspW4YKycviDFjHBOaqUY
502,Creep,TLC,1,1aWV3uY3SIEZVbmv45oFWS
503,Kiss from a Rose,Seal,1,3YKptz29AsOlm7WAVnztBh
504,On Bended Knee,Boyz II Men,1,7MYmo0JJJDmu4MZTSAF9y3
506,Fantasy,Mariah Carey,1,6xkryXuiZU360Lngd4sx13
507,Take a Bow,Madonna,1,7izFzcBTx3DVXFeFYDeZKB
508,Don't Take It Personal (Just One of Dem Days),Monica,1,0JCAezTC5IlK1a9o0YBEsD
509,This Is How We Do It,Montell Jordan,1,6uQKuonTU8VKBz5SHZuQXD
510,I Know,Dionne Farris,1,698R7h4SU5zyNil1iReHAX
511,Water Runs Dry,Boyz II Men,1,7yhmvQh1JOzbNiNFQo4Tfc
512,Freak Like Me,Adina Howard,1,6Vas6h9lB5mmeVDXdFqlQA
513,Run-Around,Blues Traveler,1,500Tkm3vJmVtdUwdCVxCTb
514,I Can Love You Like That,All-4-One,1,4OnZR9U5JRFGF1Yza9j579
515,Have You Ever Really Loved a Woman?,Bryan Adams,1,32Gf5A7Hr8RdgggXG0Fdks
517,"Boombastic"" / ""In the Summertime",Shaggy,1,4fxF8ljwryMZX5c9EKrLFE
518,Total Eclipse of the Heart,Nicki French,1,2hPOOLM9Oefyy43eAXR4Hf
519,You Gotta Be,Des'ree,1,6CU0zWIWVTEnmWpSjVHM93
520,You Are Not Alone,Michael Jackson,1,3AoeaZs8dFemFJr3JdzOL0
521,Hold My Hand,Hootie & the Blowfish,1,4WnYuVFXe6Si4fZqkxbnvS
522,One More Chance,The Notorious B.I.G.,1,7fXhkARAtS66kxexMIAx8O
524,Candy Rain,Soul for Real,1,4j1Bk0BEIGCF9hR7cSwl9d
525,Let Her Cry,Hootie & the Blowfish,1,6NGi23FFKq9tH5NR1NcTw2
526,I Believe,Blessid Union of Souls,1,7qnNnQTGxdzI2wZWpa0vDD
527,Red Light Special,TLC,1,6dW75XbJ1WAMljOXWjTK46
528,Runaway,Janet Jackson,1,7AuCGvHlwy57q8jTZgL6vH
529,Strong Enough,Sheryl Crow,1,25IRjWUZ60n7KXxcB4DiX9
530,Colors of the Wind,Vanessa Williams,1,7xG1fakElLbxwyr9eyGEK6
531,Someone to Love,Jon B.,1,4mKbb9uvBMlVvOUv8fdBt8
532,Only Wanna Be with You,Hootie & the Blowfish,1,1OFKUn2VLafrHj7ybnap0Q
533,If You Love Me,Brownstone,1,0BTGqPIW9acmhhUmENkq5r
534,In the House of Stone and Light,Martin Page,1,1QlIB0pkLKR8vEDSW7r42t
535,I Got 5 on It,Luniz,1,4IYKjN1DrYzxKXt0umJqsG
536,Baby,Brandy,1,17aVK3oQdgwVG2l0HpP67W
537,Run Away,Real McCoy,1,0ibYVniVLMJWvc3eNfYk8T
538,As I Lay Me Down,Sophie B. Hawkins,1,6S8ZXzeXsfCj8qi9179McI
539,He's Mine,MoKenStef,1,20VRVHMwAspwLA207PdKOn
540,December,Collective Soul,1,3yi27cGUFPTQUdWZV9nV67
541,I'll Be There for You/You're All I Need to Get By,Method Man,1,6C3yPXYG2NJYlIYVe5J7hv
542,Shy Guy,Diana King,1,3ldG6XCLDXxWg1N6XhrSKo
544,Every Little Thing I Do,Soul for Real,1,5u3rsmRYRSKJpFHXPT4p07
545,Before I Let You Go,Blackstreet,1,2rkVoKVEMuct8SmEIGKzBw
546,Big Poppa,The Notorious B.I.G.,1,2g8HN35AnVGIk7B8yMucww
547,Sukiyaki,4 P.M.,1,0cBQbqp5jInL73ZxLBSGlX
550,Dear Mama,2Pac,1,6tDxrq4FxEL2q15y37tXT9
552,Keep Their Heads Ringin',Dr. Dre,1,7jIujRjK5JKNrMCcAvYUTN
553,The Rhythm of the Night,Corona,1,5IPJsGFKtxKDPCkT8lhEjN
554,Roll to Me,Del Amitri,1,7LF0YY1gON8rBECsyEs0Wb
555,Scream,Michael Jackson and Janet Jackson,1,46576CnmgT6xr0RaZNF2Kt
556,Freek'n You,Jodeci,1,43sNw9nvGYGLYnNiwI8oMZ
557,I Wish,Skee-Lo,1,3LklW07tvdx2AHsgfi1Mng
558,Believe,Elton John,1,0hACDgEDhKuQlv2ZhVbAIt
559,Carnival,Natalie Merchant,1,4QXhRjZacZ1gZUeL7Ukktw
560,You Don't Know How It Feels,Tom Petty,1,7MooGz4ZPE4bNxjFegR6Jx
561,Back for Good,Take That,1,4CPTAJth9JiuKYaMIemmDD
563,You Want This,Janet Jackson,1,52kDYmU0aE3txkZBKjl0nP
564,Tell Me,Groove Theory,1,2lp8xjq0WTm3HZKHuDEweg
565,Can't You See,Total,1,174UISK3l7VRbigEHxEev7
567,This Lil' Game We Play,Subway,1,0
568,Come and Get Your Love,Real McCoy,1,0XVikcHfkoBvJ5ZU8xQBWn
569,This Ain't a Love Song,Bon Jovi,1,0ZLBD6hHGN9LYOtNlu2n8e
571,Player's Anthem,Junior M.A.F.I.A.,1,2qPx2QWd7vp8XxgeD9Wn5W
572,Feel Me Flow,Naughty by Nature,1,6Kp8tQd95YPSrSUTkll2Of
573,Every Day of the Week,Jade,1,7gRPARHLsDZaf3QxSTuKT8
574,The Sweetest Days,Vanessa Williams,1,2aw72RcR4WQvmA9bICK8QZ
575,Short Dick Man,20 Fingers,1,6ZZr5ew0DvA6xda9T5owOU
576,Brokenhearted,Brandy,1,6AzzMupvtP4u4B8d5OWVUi
577,No More I Love You's,Annie Lennox,1,2Pn5gvVioma5LHPxgEBBmD
578,You Used to Love Me,Faith Evans,1,0KhXVmAN4sqeEgsqRd39f2
579,Constantly,Immature,1,2Ht2XbOKEay5ogJbDk3i9q
580,"Hold Me, Thrill Me, Kiss Me, Kill Me",U2,1,5TsHqbDKaSs4ECZX0045YS
582,Ask of You,Raphael Saadiq,1,0
583,Sugar Hill,AZ,1,0lZWjBImx6kNe3WtOA09Xu
584,Good,Better Than Ezra,1,0ttHpMs250dpFkCYAnuhnE
585,Brown Sugar,D'Angelo,1,7rt0kEDWRg3pgTZJKuszoE
586,Turn the Beat Around,Gloria Estefan,1,5EExhZiAXIqw6M5FFGAiUb
587,'Til You Do Me Right,After 7,1,1QJDgtV8L8jCnpM1RIauAp
588,1st of tha Month,Bone Thugs-n-Harmony,1,1dF5Y2dd7Wm4wZKvVjWBpr
589,Like the Way I Do,Melissa Etheridge,1,3Fe3L3N5pGaa0BBT4eVypZ
590,I Live My Life for You,FireHouse,1,4vHp893kV7HksfB5FN1Nk5
591,Dream About You,Stevie B,1,3OaBpAwssp9QrewlrqCCEw
592,Cotton Eye Joe,Rednex,1,0Jg602cHeMCnPez9baacIe
593,Thank You,Boyz II Men,1,2ESAoDR0NAUMzm81TEBuJE
594,I'll Stand by You,The Pretenders,1,0QV7dbGPYwBdaiJIlFUcCV
596,Give It 2 You,Da Brat,1,7K1TyzMSR0s2iVlepOh75L
597,Best Friend,Brandy,1,0YwUJOHKYxlm5gVfIkl8Ym
598,Misery,Soul Asylum,1,1uGht4m9AVY641N2DzoPpi
599,Can't Stop Lovin' You,Van Halen,1,6z3JD6IqVvu6TUBtCfQPbe
600,Macarena (Bayside Boys Mix),Los del Río,1,4oaj36KzXRgDg4McgcTsZK
601,One Sweet Day,Mariah Carey and Boyz II Men,1,7ySbfLwdCwl1EM0zNCJZ38
602,Because You Loved Me,Celine Dion,1,4IxVrFqFj3dRAYwdYNABcX
603,Nobody Knows,The Tony Rich Project,1,7A0FGrZsLgOUmeNtMTnt4z
604,Always Be My Baby,Mariah Carey,1,2aBxt229cbLDOvtL7Xbb9x
605,Give Me One Reason,Tracy Chapman,1,4vDBJeeQCbhP9FaPPMsYkY
606,Tha Crossroads,Bone Thugs-n-Harmony,1,5KSJ9k1FYjFLnIRlJT2wF8
607,I Love You Always Forever,Donna Lewis,1,1PEqh7awkpuepLBSq8ZwqD
608,"You're Makin' Me High"" / ""Let It Flow",Toni Braxton,1,5bJ796cOnGBzSN5bm4mwMj
609,Twisted,Keith Sweat,1,69QIVIjPMnI1ABLBqh9P1b
610,C'mon N' Ride It (The Train),Quad City DJ's,1,2QLEN3RVunMas7j0PHjeAT
611,Missing,Everything but the Girl,1,79WrmdVsLbwRTUCiH7cPsa
612,Ironic,Alanis Morissette,1,4oGTdOClZUxcM2H3UmXlwL
613,Exhale (Shoop Shoop),Whitney Houston,1,1X3ypzPnyerpZuMqrDFK29
614,"Follow You Down"" / ""Til I Hear It from You",Gin Blossoms,1,6rqkwoZu5oX5hugeyiJCM8
615,Sittin' Up in My Room,Brandy,1,5Erc0rv16PU4Z5Zt16kGQe
616,"How Do U Want It"" / ""California Love",2Pac,1,1eduDdsjMO7Or4EXnMf2iS
617,It's All Coming Back to Me Now,Celine Dion,1,5gPx24ixruqVFS14krILEq
618,Change the World,Eric Clapton,1,6BQNJ0JFKh8sWjQLI6Zudi
619,Hey Lover,LL Cool J,1,5wG7d4cNogw0ETKaICPEYA
620,Loungin,LL Cool J,1,0UN5OvKlbg06LnZyVk48ll
621,Insensitive,Jann Arden,1,64DuEe9L3JCESWDsxSKqsx
622,Be My Lover,La Bouche,1,7FoUzKTSQp25oe32pY9z5p
623,Name,Goo Goo Dolls,1,1G8jae4jD8mwkXdodqHsBM
624,Who Will Save Your Soul,Jewel,1,2U40DawrPNZwD0lcqqx3bq
625,Where Do You Go,No Mercy,1,37tzoWY1ubBQKGXiWdO5Qv
626,I Can't Sleep Baby (If I),R. Kelly,1,6JR2utS6oY0U6OVDmIHiqV
627,Counting Blue Cars,Dishwalla,1,6B618H5CuCdEzcVs0NKTlt
628,"You Learn"" / ""You Oughta Know",Alanis Morissette,1,1HsbGJnOXPWfocSS6FoR60
629,One of Us,Joan Osborne,1,1xNmF1Uep5OGutizZSbKvd
630,Wonder,Natalie Merchant,1,5Hz6aGrZZizNBoJ6kE6Rqi
631,Not Gon' Cry,Mary J. Blige,1,78wi1g772j8eJPEnD8rr9z
633,Only You,112,1,6zOg9gP62RJSsKFeOBAgvH
634,Down Low (Nobody Has to Know),R. Kelly,1,6zA2SEJJoiNByVMlQ4vgtH
635,You're the One,SWV,1,67ZorjDM25q7bETfLbHdfS
636,Sweet Dreams,La Bouche,1,2wz5weI4PREzpexKfrKgwv
637,"Before You Walk Out of My Life"" / ""Like This and Like That",Monica,1,6xrvubhznLOcEO3AM6XBN2
638,Breakfast at Tiffany's,Deep Blue Something,1,1uzWOoJdADfstQuFtQFTUn
639,"1, 2, 3, 4 (Sumpin' New)",Coolio,1,3aln8WgAUps6efYtdEYxP3
640,The World I Know,Collective Soul,1,4beuBXU4k3YWwVKm0PpWhv
641,No Diggity,Blackstreet,1,6MdqqkQ8sSC0WB4i8PyRuQ
643,1979,The Smashing Pumpkins,1,5QLHGv0DfpeXLNFo7SFEy1
644,Diggin' on You,TLC,1,0qfbHkJ97Zpt0yxEWFzJUZ
645,"Why I Love You So Much"" / ""Ain't Nobody",Monica,1,7EKvTUo567BRNzZ37clvlf
646,Kissin' You,Total,1,1e5DTpM1WeggytDXbphivX
647,Count On Me,Whitney Houston,1,7mVV7fepIMUAE4FDyihupV
649,Time,Hootie & the Blowfish,1,1N0UflnZhn7xOkrN2l8zxx
650,You'll See,Madonna,1,0Fb8sdyNluLawg08N1zs48
651,Last Night,Az Yet,1,2mj1Z5bqu0UfW4o4a7UxpW
652,Mouth,Merril Bainbridge,1,11Ki2bHWXTEug0DAfKcDDD
653,"The Earth, the Sun, the Rain",Color Me Badd,1,20lzW8sXHa20GVDyIwJihy
654,All the Things (Your Man Won't Do),Joe,1,3UGNdLrhhsK0SY9gNqe8TT
655,Wonderwall,Oasis,1,5wj4E6IsrVtn8IBJQOd0Cl
656,Woo Hah!! Got You All in Check,Busta Rhymes,1,09WxJCWFMWAxTHBLLelpDS
658,Elevators (Me & You),Outkast,1,2oLwDI8tZUOh6SmTMRRfKs
659,Hook,Blues Traveler,1,27IRo2rYeizhRMDaNVplNM
660,Doin' It,LL Cool J,1,4WMBl2wiGUSGa5C7tfQEAo
661,Fastlove,George Michael,1,6SaeXxdt0Id6ZzmX0ZGTQK
662,"Touch Me, Tease Me",Case,1,4xrBjUq18fvXK68DJEi5XM
663,Tonite's tha Night,Kris Kross,1,53Bg1jmAmZ2dv1XwKYjDqo
664,Children,Robert Miles,1,4wtR6HB3XekEengMX17cpc
665,Theme from Mission: Impossible,Adam Clayton and Larry Mullen,1,0
666,Closer to Free,BoDeans,1,0xw22cJECqEQ8RlH0H4sHr
667,Just a Girl,No Doubt,1,5lWRaa0fBxDE5yU91npPq7
668,If Your Girl Only Knew,Aaliyah,1,0
669,Lady,D'Angelo,1,7AjfklMN4WpQYz5FkT4E66
670,Key West Intermezzo (I Saw You First),John Mellencamp,1,43bvQNBz3LPzTxEgPSs9qQ
671,Pony,Ginuwine,1,6mz1fBdKATx6qP4oP1I65G
672,Nobody,Keith Sweat,1,4SF1747p541umnykBp352Q
673,Old Man and Me (When I Get To Heaven),Hootie & the Blowfish,1,6kbrCv0lGLSdDL9p6HB622
674,If It Makes You Happy,Sheryl Crow,1,5XrfFo0JFOnWD9ZMNXGkQh
676,"Keep On, Keepin' On",MC Lyte,1,42aZFX1bcCDj75ue0KoNSd
677,Jealousy,Natalie Merchant,1,3qcVyKUKAOfBoQJsxHfhmW
678,I Want to Come Over,Melissa Etheridge,1,7tOEXhPdFosbBcQrAISAfl
679,Who Do U Love,Deborah Cox,1,54lhKZ69xX8TeHRgWNU3rU
680,Un-Break My Heart,Toni Braxton,1,5Ihd9HrPvOADyVoonH9ZjB
681,This Is Your Night,Amber,1,5p0rUHicpwMZil8RlNGGth
682,You Remind Me of Something,R. Kelly,1,01rYWOpu72uFQORnWN84C3
684,Set U Free,Planet Soul,1,3lX3jXOthWEzahVB1JSC2D
685,Hit Me Off,New Edition,1,0yNCFwihschpOwSgK31f2O
686,No One Else,Total,1,2IOQOWr4P14saZqZlM7k84
687,My Boo,Ghost Town DJ's,1,4c0rkFPszqQTyC753tsCMU
688,Get Money,Junior M.A.F.I.A.,1,53oWwSxPuyH2cjYKXH8fgO
689,That Girl,Maxi Priest,1,24s6yppvGO5he6wRwCaGrr
690,Po Pimp,Do or Die,1,66AMCAjrOk7c957i3ej06f
691,Until It Sleeps,Metallica,1,63aVbch5VRXtQnCITdeDTZ
692,Hay,Crucial Conflict,1,56hvN4r1qI7kDW9cw1lVov
693,Beautiful Life,Ace of Base,1,74jTexO94dFGyXGyeu8krd
695,I Got Id,Pearl Jam,1,454wC5PPsU0mPltiJqxDbz
696,Soon as I Get Home,Faith Evans,1,6SkGfPa77E4giShVbk9N6R
697,Macarena,Los del Río,1,4oaj36KzXRgDg4McgcTsZK
699,Don't Cry,Seal,1,1plWd6HPu5RUGa3kszuaYA
700,"Something About the Way You Look Tonight"" / ""Candle in the Wind 1997",Elton John,1,4l4mSq8IKgCMz0q9KFZ7tK
701,"Foolish Games"" / ""You Were Meant for Me",Jewel,1,3pPyv196sOJrbZdNiVNYCA
702,I'll Be Missing You,Puff Daddy,1,0jKMnHAycHc9qO6R6UyhMc
704,Can't Nobody Hold Me Down,Puff Daddy,1,1EM23A621Z0QyTlWKu7T1l
705,I Believe I Can Fly,R. Kelly,1,2RzJwBCXsS1VnjDm2jKKAa
706,Don't Let Go (Love),En Vogue,1,06TuMCjDEYjTOJScCRzmjf
707,Return of the Mack,Mark Morrison,1,3jDdpx9PMlfMBS5tOBHFm9
